customer_id,age,claim_amount,policy_years,past_claims,accident_history,damage_severity,text_risk,image_risk,fraud
1,25,50000,2,0,0,4,0.0,0.8,0
2,30,70000,3,1,0,5,0.1,0.9,0
3,35,60000,4,0,1,3,0.0,0.7,0
4,28,80000,2,0,0,4,0.0,0.8,0
5,40,90000,5,1,1,5,0.0,1.0,0
6,32,75000,3,0,0,4,0.1,0.8,0
7,45,100000,6,1,1,5,0.0,1.0,0
8,29,65000,2,0,0,3,0.0,0.7,0
9,38,85000,4,1,0,4,0.1,0.8,0
10,50,95000,7,1,1,5,0.0,1.0,0

11,55,250000,8,4,3,1,0.7,0.2,1
12,48,220000,7,3,2,2,0.6,0.3,1
13,60,300000,9,5,4,1,0.8,0.2,1
14,52,270000,8,4,3,2,0.7,0.3,1
15,58,320000,9,5,4,1,0.9,0.2,1
16,47,210000,6,3,2,2,0.6,0.3,1
17,62,350000,10,5,4,1,0.8,0.2,1
18,53,280000,8,4,3,2,0.7,0.3,1
19,57,300000,9,5,4,1,0.8,0.2,1
20,49,240000,7,3,2,2,0.6,0.3,1
